课程,时间,链接
浙大附中新高三家长会,2019-07-04 21:53:11,http://fs.up366.cn/download/51191651584507904
数学1集合,2019-07-04 22:02:48,http://fs.up366.cn/download/51191354710261760
物理1力学估算问题,2019-07-04 22:03:25,http://fs.up366.cn/download/51191788353323008
化学1物质的量物质的量浓度溶液配制,2019-07-04 22:04:25,http://fs.up366.cn/download/51191357748314112
技术1插入排序,2019-07-04 22:04:52,http://fs.up366.cn/download/51191645038673920
数学2-命题及其关系，充分条件和必要条件,2019-07-05 22:13:57,http://fs.up366.cn/download/51194064999350272
化学2-离子反应（第4单元-第5单元）,2019-07-05 22:19:42,http://fs.up366.cn/download/51193672162246656
生物1-核酸是遗传物质的证据,2019-07-05 22:30:25,http://fs.up366.cn/download/51194656660946944
物理2-力学,2019-07-05 22:39:33,http://fs.up366.cn/download/51194669484179456
技术2电容延时,2019-07-06 09:59:58,http://fs.up366.cn/download/51195996457762816
物理3：动态平衡问题,2019-07-06 21:37:01,http://fs.up366.cn/download/51197411374399488
数学3-任意角的三角函数,2019-07-06 22:17:20,http://fs.up366.cn/download/51197455565160448
化学3-氧化还原（第6单元-第7单元）,2019-07-06 22:18:29,http://fs.up366.cn/download/51193679405023232
生物2-DNA的分子结构,2019-07-06 22:19:12,http://fs.up366.cn/download/51194694409486336
技术3-数论问题与自定义函数,2019-07-06 22:20:15,http://fs.up366.cn/download/51199348010713088
地理1-杭州（30°N）正午太阳高度角的,2019-07-06 22:23:13,http://fs.up366.cn/download/51193683431161856
数学4-同角三角函数的基本关系式,2019-07-07 21:42:03,http://fs.up366.cn/download/51199296358580224
生物3-DNA分子的复制+N5,2019-07-07 21:45:12,http://fs.up366.cn/download/51199307174871040
技术4-电路分析：上、下限判断 + 调节,2019-07-07 21:46:39,http://fs.up366.cn/download/51199315892666368
化学4-微观结构与物质的多样性,2019-07-07 21:48:39,http://fs.up366.cn/download/51199320018812928;51199321890947072
物理4-牛顿定律中的临界问题,2019-07-08 08:43:36,http://fs.up366.cn/download/51201526149087232
数学5-三角函数的图像与性质,2019-07-08 21:34:12,http://fs.up366.cn/download/51203038550753280
物理5-实验：牛顿运动定律,2019-07-08 21:34:45,http://fs.up366.cn/download/51203032843223040
化学5-钠镁铝（第11单元-第12单元）,2019-07-08 21:35:19,http://fs.up366.cn/download/51203018743119872;51203020317229056
生物4-遗传信息的表达,2019-07-08 21:36:11,http://fs.up366.cn/download/51202659484270592
技术5-进制转换与自定义函数,2019-07-08 21:37:27,http://fs.up366.cn/download/51203010844884992
技术6-字符处理与自定义函数,2019-07-09 20:15:02,http://fs.up366.cn/download/51199849000960000
地理暑假画图作业,2019-07-09 20:19:53,http://fs.up366.cn/download/51205321374203904
生物5-第五单元综合（讲评）,2019-07-10 16:56:29,http://fs.up366.cn/download/51205155519102976
政治1-经济生活 第一单元 生活与消费,2019-07-10 16:57:16,http://fs.up366.cn/download/51205097584427008
化学6-铁铜（第13单元）,2019-07-10 18:34:49,http://fs.up366.cn/download/51208334600437760
技术7-递归应用问题,2019-07-10 20:58:34,http://fs.up366.cn/download/51208631594352640
数学6三角函数模型的简单应用,2019-07-10 22:12:34,http://fs.up366.cn/download/51211274033659904
物理6-实验：测玻璃的折射率,2019-07-10 22:38:24,http://fs.up366.cn/download/51208830479728640
化学7-氯溴碘+硅,2019-07-11 16:23:59,http://fs.up366.cn/download/51210861626490880
生物6-基因在染色体上的位置1,2019-07-11 16:49:24,http://fs.up366.cn/download/51205162225795072
数学7-两角和与差的正弦、余弦和正切,2019-07-11 16:56:21,http://fs.up366.cn/download/51211002378682368;51211051400396800
技术8-电路分析：连线 + 三极管,2019-07-11 19:40:04,http://fs.up366.cn/download/51211337737535488;51205121279492096
物理7-传送带问题,2019-07-11 21:09:46,http://fs.up366.cn/download/51211516985835520
数学8-二倍角公式与简单的三角恒等变换,2019-07-12 21:16:53,http://fs.up366.cn/download/51213007934881792;51213009621417984
物理8-实验：①验证机械能守恒定律,2019-07-12 21:17:39,http://fs.up366.cn/download/51214324745011200
化学8-硫氮（第16单元-第17单元）,2019-07-12 21:18:12,http://fs.up366.cn/download/51213053023944704
生物7-基因在染色体上的位置2,2019-07-12 21:18:47,http://fs.up366.cn/download/51205191609679872
技术9-数据库连接问题,2019-07-12 21:19:14,http://fs.up366.cn/download/51205232309174272
政治2-经济生活 第二单元生产劳动与经营,2019-07-12 21:19:59,http://fs.up366.cn/download/51205110333603840
数学9-正弦定理和余弦定理,2019-07-13 19:21:32,http://fs.up366.cn/download/51213468090531840;51213469314351104
物理9-弹簧类问题,2019-07-13 19:22:16,http://fs.up366.cn/download/51213524977975296
化学9-热效应 原电池,2019-07-13 19:22:56,http://fs.up366.cn/download/51213529712328704
生物8-植物的激素调节,2019-07-13 19:23:40,http://fs.up366.cn/download/51205215323488256
技术10-三极管连接和门电路,2019-07-13 19:24:21,http://fs.up366.cn/download/51216968539013120
地理2-按照答题模板套路进行回答,2019-07-13 19:25:19,http://fs.up366.cn/download/51216159200772096
物理10-实验：平抛物体的运动,2019-07-14 21:46:55,http://fs.up366.cn/download/51220063017926656
化学10-电解池（第20单元）,2019-07-14 21:47:22,http://fs.up366.cn/download/51213532829253632
生物9-再谈植物激素,2019-07-14 21:48:01,http://fs.up366.cn/download/51205223254130688
政治3-经济生活 第三单元收入与分配,2019-07-14 21:48:38,http://fs.up366.cn/download/51205112626741248
数学10正弦定理和余弦定理的应用,2019-07-14 22:12:26,http://fs.up366.cn/download/51220090932887552;51220101930483712
数学-第22讲答案详解,2019-07-15 20:44:23,http://fs.up366.cn/download/51222771945209856
政治4-经济生活-发展社会主义市场经济,2019-07-17 00:15:26,http://fs.up366.cn/download/51216232369881088
政治5-政治生活 第一单元公民的政治生活,2019-07-18 15:31:26,http://fs.up366.cn/download/51216239842492416
政治6-政治生活第二单元为人民服务的政府,2019-07-20 17:32:31,http://fs.up366.cn/download/51230189290455040
政治7-政治生活第三单元发展社会主义民主,2019-07-22 16:26:28,http://fs.up366.cn/download/51230726081019904
政治8-政治生活 第四单元当代国际社会,2019-07-25 10:51:16,http://fs.up366.cn/download/51249902985314304
地理3-认识大洲——亚洲,2019-08-06 09:43:08,http://fs.up366.cn/download/51283743912591360
政治9-文化生活 第一单元 文化与生活,2019-08-10 10:40:25,http://fs.up366.cn/download/51283799095476224
地理4-认识地区——欧洲西部,2019-08-10 10:42:56,http://fs.up366.cn/download/51283779666771968
政治10-文化生活第二单元文化传承与创新,2019-08-12 20:30:20,http://fs.up366.cn/download/51283802046726144
数学11-数系的扩充与复数的引入,2019-08-14 16:38:20,http://fs.up366.cn/download/51306438508675072
物理11-圆周运动临界问题,2019-08-14 16:40:27,http://fs.up366.cn/download/51306453860155392
化学11-速率及方向限度,2019-08-14 16:50:48,http://fs.up366.cn/download/51283831998119936
生物10-人类遗传病,2019-08-14 16:53:20,http://fs.up366.cn/download/51306408912977920
技术11-传感器和发光二极管,2019-08-14 16:54:50,http://fs.up366.cn/download/51302159434776576
政治11-文化生活3中华文化与民族精神,2019-08-14 16:58:22,http://fs.up366.cn/download/51284303515746304
数学12-空间几何体的三视图和直观图,2019-08-15 22:43:03,http://fs.up366.cn/download/51307368754479104
化学12-平衡移动（第23单元）,2019-08-15 22:42:55,http://fs.up366.cn/download/51283861784690688
物理12-描绘小灯泡的伏安特性曲线,2019-08-15 22:43:14,http://fs.up366.cn/download/51310274291466240
技术12-继电器连接,2019-08-15 22:56:22,http://fs.up366.cn/download/51310782114889728
生物11-内环境与稳态,2019-08-16 17:39:58,http://fs.up366.cn/download/51306417042063360
数学13-空间点、直线平面之间的位置关系,2019-08-16 22:46:58,http://fs.up366.cn/download/51307424035241984
物理13-摩擦力问题,2019-08-16 22:49:43,http://fs.up366.cn/download/51313199108259840
化学13-弱电解质的电离平衡及溶液酸碱性,2019-08-16 22:50:43,http://fs.up366.cn/download/51283887472640000
生物12-人体的体温调节,2019-08-16 22:53:15,http://fs.up366.cn/download/51306429771251712
技术13-字符加密问题-1循环移位,2019-08-16 22:54:37,http://fs.up366.cn/download/51309742114963456
政治12-文化生活发展中国特色社会主义,2019-08-16 22:55:35,http://fs.up366.cn/download/51284306357387264
数学14-讲直线与平面平面与平面平行判定,2019-08-17 21:02:37,http://fs.up366.cn/download/51307443335004160
物理14-用双缝干涉测光的波长,2019-08-17 21:06:00,http://fs.up366.cn/download/51313220291657728
化学14-盐类的水解（第26单元）,2019-08-17 21:07:03,http://fs.up366.cn/download/51283903674810368
生物13-基因突变,2019-08-17 21:10:09,http://fs.up366.cn/download/51315283819233280
技术14-字符加密问题-2ASCII分离,2019-08-17 21:11:37,http://fs.up366.cn/download/51309738676191232
数学15-平面向量的概念及其线性运算,2019-08-18 21:04:29,http://fs.up366.cn/download/51317916484796416
物理15-连接体问题,2019-08-18 21:05:21,http://fs.up366.cn/download/51307454198513664
化学15-烃、卤代烃、醇酚,2019-08-18 21:06:21,http://fs.up366.cn/download/51319043568304128
生物14-基因重组&染色体畸变,2019-08-18 21:07:50,http://fs.up366.cn/download/51318210475065344
技术15-基本触发器,2019-08-18 21:08:41,http://fs.up366.cn/download/51314930647793664
政治13-生活与哲学-生活智慧与时代精神,2019-08-18 21:09:32,http://fs.up366.cn/download/51284313602326528
技术16-电路分析：三极管、复合管,2019-08-20 19:13:36,http://fs.up366.cn/download/51302316984664064
生物15-可遗传变异在生产上的应用,2019-08-20 19:15:33,http://fs.up366.cn/download/51323904314769408
化学16-醛、酸、酯（第30单元）,2019-08-20 19:17:12,http://fs.up366.cn/download/51283993842876416
数学16-平面向量基本定理及坐标表示讲,2019-08-20 19:20:09,http://fs.up366.cn/download/51317968759848960
物理16-实验：物理微课测玻璃砖的折射率,2019-08-20 19:21:45,http://fs.up366.cn/download/51313248318095360
政治14-生活与哲学-探索世界与追求真理,2019-08-20 19:23:28,http://fs.up366.cn/download/51284319148310528
数学17-平面向量的数量积与平面向量应用,2019-08-21 20:08:01,http://fs.up366.cn/download/51317947817754624
物理17-动能定理多过程问题,2019-08-21 20:09:41,http://fs.up366.cn/download/51307475300319232
化学17-有机合成与推断,2019-08-21 20:12:09,http://fs.up366.cn/download/51309347039805440;51284219890499584
生物16-生物的进化第一课时,2019-08-21 20:13:10,http://fs.up366.cn/download/51326868261240832
技术17-JN6201和比较器,2019-08-21 20:13:57,http://fs.up366.cn/download/51316330443276288
数学18-直线与平面垂直的判定,2019-08-22 20:18:05,http://fs.up366.cn/download/51329560319033344
物理18-实验：测定电源的电动势和内阻,2019-08-22 20:19:04,http://fs.up366.cn/download/51327462123077632
生物17-基因频率和基因型频率,2019-08-22 20:22:31,http://fs.up366.cn/download/51327781291458560
技术18-子序列问题,2019-08-22 20:23:31,http://fs.up366.cn/download/51329592245420032
政治15-生活与哲学 思想方法与创新意识,2019-08-22 20:26:03,http://fs.up366.cn/download/51284321964949504
化学18-物质分离与提纯,2019-08-22 20:27:05,http://fs.up366.cn/download/51284263680868352
技术19-高精度算法,2019-08-23 11:55:38,http://fs.up366.cn/download/51331975415955456
物理19-动量和能量的综合,2019-08-23 20:38:27,http://fs.up366.cn/download/51307494227410944
化学19-条件控制、方案设计,2019-08-23 20:39:44,http://fs.up366.cn/download/51284292294443008
生物18-习题训练+讲评,2019-08-23 20:40:31,http://fs.up366.cn/download/51330290732859392
技术20芯片专题：555,2019-08-23 20:41:20,http://fs.up366.cn/download/51302319895773184
数学19-空间向量及其运算和空间位置关系,2019-08-23 21:44:06,http://fs.up366.cn/download/51333288281571328
数学20-直线的倾斜角与斜率直线的方程,2019-08-24 20:45:05,http://fs.up366.cn/download/51333290352771072
物理20-练习使用多用电表,2019-08-24 20:46:18,http://fs.up366.cn/download/51327468914475008
化学20-制备与合成,2019-08-24 20:47:43,http://fs.up366.cn/download/51284294907887616
技术21-一维数组与矩阵的转化问题,2019-08-24 20:48:32,http://fs.up366.cn/download/51332156975874048
政治16-生活与哲学 认识社会与价值选择,2019-08-24 20:49:22,http://fs.up366.cn/download/51284326370148352
生物19-开学考选择题讲评,2019-09-07 16:25:22,http://fs.up366.cn/download/51375129230245888
数学21-开学考试卷评讲,2019-09-11 16:18:51,http://fs.up366.cn/download/51386443022204928
物理21-物竞,2019-09-14 20:42:37,http://fs.up366.cn/download/51395450508279808
物理22-物理大周练,2019-09-14 20:46:20,http://fs.up366.cn/download/51395466267426816
生物20-周末卷选择题,2019-09-14 20:59:52,http://fs.up366.cn/download/51395484263284736
化学21-化学周末综合测评卷（一）讲评,2019-09-14 21:11:37,http://fs.up366.cn/download/51395515257454592
技术22-单稳态触发器和多谐振荡器电路,2019-09-14 21:18:59,http://fs.up366.cn/download/51395527495286784;51395528773828608
技术23-矩阵专题卷试卷讲评,2019-09-14 21:26:08,http://fs.up366.cn/download/51395540648165376
技术24-开学检测卷信息技术第6题讲评,2019-09-14 21:28:18,http://fs.up366.cn/download/51395549028057088
生物21-周练卷1+2大题部分9.14,2019-09-15 13:28:37,http://fs.up366.cn/download/51397432559796224
物理23-物理五三专题一 质点的直线运动,2019-09-18 16:05:03,http://fs.up366.cn/download/51406230664445952
化学22-综合练习卷二解析（2段）,2019-09-19 16:09:14,http://fs.up366.cn/download/51409063374422016;51409065855123456
历史9.21,2019-09-20 22:36:52,http://fs.up366.cn/download/51412669321543680
地理-地球运动测验讲评,2019-09-20 22:54:37,http://fs.up366.cn/download/51412705002913792
生物22-周末讲评（共3段）,2019-09-20 23:49:26,http://fs.up366.cn/download/51412807957905408;51412809305784320;51412811243520000
政治17-周末讲评,2019-09-21 00:03:35,http://fs.up366.cn/download/51412841246195712
技术-七彩阳光+Z20卷讲评,2019-09-21 09:06:29,http://fs.up366.cn/download/51412615088570368;51412617417818112;51412618190749696
化学23-国庆两份试卷讲评（3段）,2019-09-30 16:58:07,http://fs.up366.cn/download/51438204972531712;51440306220433408;51440309100412928
技术-超级全能生试卷讲评,2019-09-30 21:49:49,http://fs.up366.cn/download/51440473826951168;51440470322085888
物理-国庆作业卷七讲评,2019-09-30 21:47:25,http://fs.up366.cn/download/51440876817154048
地理-国庆两份试卷讲评,2019-09-30 22:10:40,http://fs.up366.cn/download/51440930234302464
历史-国庆两份试卷讲评,2019-09-30 23:56:30,http://fs.up366.cn/download/51441135768895488;51441137438818304
技术-名校协作讲解信息和通用（2段）,2019-10-01 00:35:55,http://fs.up366.cn/download/51441211859206144;51441215238340608
生物24-国庆两份试卷讲评,2019-10-04 16:42:24,http://fs.up366.cn/download/51445792473448448;51445801622175744;51438221299908608;51438222428766208
政治18-国庆两份试卷讲评,2019-10-02 16:02:12,http://fs.up366.cn/download/51445864043446272
数学22-国庆两份试卷讲评,2019-10-03 15:50:09,http://fs.up366.cn/download/51448197341118464;51448201297395712;51448675403595776
物理-国庆作业卷八讲评,2019-10-04 19:32:33,http://fs.up366.cn/download/51451938231844864
生物-十二校联考卷讲评,2019-10-12 12:08:28,http://fs.up366.cn/download/51473714391580672;51473715907428352
化学-2019金丽衢化学试卷讲评,2019-10-18 10:57:53,http://fs.up366.cn/download/51490565772443648
物理-53相互作用讲评,2019-10-18 13:47:17,http://fs.up366.cn/download/51490596753899520
生物-试卷讲评（2段）,2019-10-18 14:40:17,http://fs.up366.cn/download/51490990958739456;51491004734603264
地理-周练讲评,2019-10-18 18:36:35,http://fs.up366.cn/download/51491467557273600
技术-十校联盟卷信息部分讲评,2019-10-19 12:07:06,http://fs.up366.cn/download/51493535703334912
政治-试卷讲评录播课,2019-10-19 12:32:06,http://fs.up366.cn/download/51493582098169856
物理-牛顿运动定律53讲评,2019-10-25 15:15:31,http://fs.up366.cn/download/51490526593286144
历史-嘉兴卷历史周练讲评,2019-10-25 20:06:51,http://fs.up366.cn/download/51511458440675328;51511461397823488
生物-十校联盟卷大题讲评,2019-10-25 22:08:03,http://fs.up366.cn/download/51511702489956352
化学-嘉兴卷讲评,2019-10-26 12:35:21,http://fs.up366.cn/download/51513408956268544
技术-试卷讲评-通用技术部分,2019-10-26 13:25:05,http://fs.up366.cn/download/51513498263322624
技术-金丽衢讲解,2019-10-26 16:31:40,http://fs.up366.cn/download/51513871872000000
生物-周末练9试卷讲评,2019-11-02 11:40:35,http://fs.up366.cn/download/51533110656794624
政治-高三政治周末试卷讲评（11.9）,2019-11-08 21:04:56,http://fs.up366.cn/download/51551214062862336
地理-连环船计中的南北差异（2段）,2019-11-08 21:11:18,http://fs.up366.cn/download/51551226404274176;51551227642347520
生物-周末卷10,2019-11-08 22:26:03,http://fs.up366.cn/download/51551374559215616
化学-实验讲评,2019-11-15 19:55:57,http://fs.up366.cn/download/51570895819997184
技术-周末卷信息技术15、16题,2019-11-16 09:51:49,http://fs.up366.cn/download/51572533188362240
物理-53第四章 曲线运动,2019-11-22 11:23:35,http://fs.up366.cn/download/51589508933156864
生物-周末卷讲评（2段）,2019-11-22 20:01:05,http://fs.up366.cn/download/51590719117524992;51590721684111360
地理-作业讲评,2019-11-22 20:25:10,http://fs.up366.cn/download/51590771327336448
技术-杭州周边卷-16题-信息部分,2019-11-22 22:16:12,http://fs.up366.cn/download/51590988488474624
历史-周练讲评课,2019-11-22 22:24:44,http://fs.up366.cn/download/51591007461638144
政治-试卷讲评,2019-11-22 22:38:51,http://fs.up366.cn/download/51591033546080256
化学-周末课,2019-11-22 23:28:53,http://fs.up366.cn/download/51591130717880320
技术-之江教育综合卷通用技术部分,2019-11-23 10:37:47,http://fs.up366.cn/download/51592445784555520
技术-温州一模卷15-16题,2019-11-29 14:12:26,http://fs.up366.cn/download/51609795275751424
化学-模拟卷五试题讲解,2019-11-29 14:13:32,http://fs.up366.cn/download/51609847509090304
技术-综合电路分析三极管专题讲评,2019-11-29 23:02:16,http://fs.up366.cn/download/51610900243611648
政治-11.30录播课（温州卷讲评）,2019-11-29 23:20:13,http://fs.up366.cn/download/51610935130488832
生物-长兴卷选择题讲评,2019-11-29 23:35:19,http://fs.up366.cn/download/51610965171437568
历史-之江联盟卷二讲评,2019-12-06 22:03:31,http://fs.up366.cn/download/51629686697787392
物理-万有引力复习,2019-12-06 22:08:00,http://fs.up366.cn/download/51630611180060672
地理-作业讲评,2019-12-06 22:28:45,http://fs.up366.cn/download/51630653809262592
生物-长兴卷+金华十校部分大题,2019-12-06 22:26:06,http://fs.up366.cn/download/51630646780198912
技术-嘉兴卷16+金华十校（15+16）,2019-12-06 22:35:34,http://fs.up366.cn/download/51630665005531136
化学-模拟卷六试题讲解,2019-12-06 22:39:10,http://fs.up366.cn/download/51630673786634240
政治-周末卷,2019-12-06 22:49:26,http://fs.up366.cn/download/51630691305160704
生物-金华十校,2019-12-06 22:56:35,http://fs.up366.cn/download/51630707412992000
技术-三视图补线专题,2019-12-07 11:24:35,http://fs.up366.cn/download/51632177240408064
地理-作业讲评,2019-12-13 14:41:08,http://fs.up366.cn/download/51649552035282944
历史-绍兴诊断讲评,2019-12-14 19:36:12,http://fs.up366.cn/download/51652958087905280
化学-（绍兴11月考卷）部分题目讲,2019-12-14 19:42:47,http://fs.up366.cn/download/51652974146387968
技术-台州卷讲评,2019-12-14 19:47:50,http://fs.up366.cn/download/51652982598598656
物理实验-探究碰撞中的不变量,2019-12-14 20:33:04,http://fs.up366.cn/download/51653073946050560
政治-录播课,2019-12-14 20:23:33,http://fs.up366.cn/download/51653053859430400
物理-探究求合力的方法,2019-12-14 20:49:04,http://fs.up366.cn/download/51653105361387520
物理-五三电学实验讲评,2019-12-15 10:33:46,http://fs.up366.cn/download/51654723087728640
技术-台州卷信息15、16题讲评,2019-12-15 20:54:39,http://fs.up366.cn/download/51655944458665984
化学-周末卷讲评,2019-12-27 21:58:32,http://fs.up366.cn/download/51690039434772480
生物-植物细胞工程和胚胎工程,2019-12-27 22:46:08,http://fs.up366.cn/download/51690136945360896
生物-动物细胞工程和胚胎工程,2019-12-27 22:45:44,http://fs.up366.cn/download/51690133373222912
化学-寒假作业1,2020-01-17 21:48:01,http://fs.up366.cn/download/51749467368521728
化学-寒假作业2,2020-01-17 21:49:20,http://fs.up366.cn/download/51749473056292864
化学-寒假作业3,2020-01-17 21:50:14,http://fs.up366.cn/download/51749477621071872
数学-156面破解难点一 最值问题案例,2020-01-18 22:50:09,http://fs.up366.cn/download/51752433855397888
数学-手册275面 专题突破训练 1，2,2020-01-19 14:23:33,http://fs.up366.cn/download/51753938220613632
生物-9+1卷三浙大附中秦丹,2020-01-20 09:45:00,http://fs.up366.cn/download/51756550159892480
数学-手册275面 专题突破训练 3，4,2020-01-20 09:58:25,http://fs.up366.cn/download/51756577102561280
数学-手册276面 专题突破训练 5，6,2020-01-21 12:01:58,http://fs.up366.cn/download/51759654268207104
数学-手册158最值问题案例5和例题,2020-01-22 10:16:24,http://fs.up366.cn/download/51762203939045376
数学-手册159面 范围问题案例2和例2,2020-01-22 10:41:11,http://fs.up366.cn/download/51762323533496320
数学-导数与不等式1,2020-01-22 16:30:04,http://fs.up366.cn/download/51763011788570624
数学-导数与不等式2,2020-01-22 17:07:21,http://fs.up366.cn/download/51763084994576384
数学-导数与不等式3,2020-01-22 17:13:54,http://fs.up366.cn/download/51763098881458176
数学-导数与方程1,2020-01-22 17:17:45,http://fs.up366.cn/download/51763106515910656
数学-导数与方程2,2020-01-22 17:20:42,http://fs.up366.cn/download/51763111182696448
数学-.导数与方程3,2020-01-23 11:00:58,http://fs.up366.cn/download/51765192565063680
生物-模拟卷5讲解,2020-01-27 21:03:37,http://fs.up366.cn/download/51777705952870400
生物-试卷9讲解,2020-01-27 21:10:12,http://fs.up366.cn/download/51777719192453120
生物-试卷8讲解,2020-01-27 21:08:37,http://fs.up366.cn/download/51777716415004672
生物-试卷7讲解,2020-01-27 21:07:20,http://fs.up366.cn/download/51777713439178752
生物-试卷6讲解,2020-01-27 21:04:57,http://fs.up366.cn/download/51777708850118656
生物-寒假作业第二套 金华十校部分大题,2020-01-27 20:57:35,http://fs.up366.cn/download/51777693952933888
生物-寒假作业第二套长兴卷选择题讲评,2020-01-27 21:00:05,http://fs.up366.cn/download/51777699185000448
生物-试卷4讲解,2020-01-27 21:01:45,http://fs.up366.cn/download/51777702936641536
